original,normalized_binomial,japanese
"*Neochele argentata* Butler, 1881",Neochele argentata,ギンモンセジロナミシャク
"*Zenophleps alpinata* Cassino, 1927",Zenophleps alpinata,ウスキナミシャク
"*Zenophleps terminata* (Wileman, 1911)",Zenophleps terminata,ウスバナミシャク
"*Zenophleps lignicolor* (Warren, 1896)",Zenophleps lignicolor,マエシロモンナミシャク
"*Zenophleps signata* (Butler, 1879)",Zenophleps signata,ホシウスバナミシャク
*Colostygia* sp.,Colostygia sp.,ホソバヒメナミシャク
"*Thera firmata* (Hübner, 1822)",Thera firmata,シロシマカバナミシャク
"*Thera juniperata* (Linnaeus, 1758)",Thera juniperata,クロフシラナミシャク
"*Electrophaes horia* (Prout, 1926)",Electrophaes horia,ヒメフタオビコバネナミシャク
"*Electrophaes fulgidaria* (Leech, 1897)",Electrophaes fulgidaria,ウラモンコバネナミシャク
"*Spargania luctuata* (Denis & Schiffermüller, 1775)",Spargania luctuata,ウラモンクロナミシャク
"*Anticlea consanguinata* Lederer, 1853",Anticlea consanguinata,ウスアオナミシャク
"*Anticlea hansi* (Hedemann, 1881)",Anticlea hansi,フタスジキナミシャク
"*Anticlea subornata* (Inoue, 1955)",Anticlea subornata,キシタナミシャク
"*Earophila badiata* (Denis & Schiffermüller, 1775)",Earophila badiata,ウラモンナミシャク
*Rheumaptera* sp.,Rheumaptera sp.,スギタニナミシャク
"*Triphosa amblychroura* Prout, 1937",Triphosa amblychroura,ナカオビエダシャク
"*Triphosa rubrodotata* (Walker, 1862)",Triphosa rubrodotata,クロオビシロエダシャク
"*Philereme vetulata* (Denis & Schiffermüller, 1775)",Philereme vetulata,クロフナミシャク
"*Hydria undulata* (Linnaeus, 1758)",Hydria undulata,キエダナミシャク
