和名,学名,成虫時期,生態の備考
ウスモンチビナミシャク,Perizoma contrita (Prout, 1913),"年1化, 8~9月",本州では、長野県、山梨県の山地から亜高山帯で8~9月に得られているが、かなりまれである。年1化。
フタオビカバナミシャク,Perizoma haasi (Hedemann, 1881),"年1化, 7月下旬~8月中旬",年1化、7月下旬~8月中旬に得られている。
オオクロテンカバナミシャク,Eupithecia abietaria (Goeze, 1781),"年1化, 7~8月",山地から亜高山に産し、年1化、本州の中部地方山地では7~8月に出現する。
フトオビヒメナミシャク,Eupithecia gigantea Staudinger, 1897),"年1化, 7~8月",山地性だが前種より低標高地にも産し、7~8月に多い。
ウスアカチビナミシャク,Eupithecia rufescens Butler, 1878),5~7月,平地から低山地に分布し、関東地方の低地では5~7月に出現するが、個体数はあまり多くない。おそらく年1化。
ナカオビカバナミシャク,Eupithecia subbreviata Staudinger, 1897),"年1化, 3~4月",春の蛾で、年1化、3~4月に出現し、平地から山地まで各地に多く産する。
ウスカバナミシャク,Eupithecia proterva Butler, 1878),"年1化, 3~4月",年1化で、3~4月に出現する。関東地方では平地~低山地に多く、山地には少ない。
モンウスカバナミシャク,Eupithecia clavifera Inoue, 1955),"年1化, 3~4月",年1化、3~4月に平地から山地まで普通に見られる。
マエナミカバナミシャク,Eupithecia niphonaria Leech, 1897),年1化、春,年1化、春に出現し、平地~低山地で採れるがあまり多くない。関東地方では山地には産しない。
マエテンカバナミシャク,Eupithecia costiconvexa Inoue, 1979),"年1化, 3~4月",年1化、3~4月に出現するが、局地的で非常に少ない。
ヒコサンカバナミシャク,Eupithecia antivulgaria Inoue, 1965),"年1化, 10~12月",年1化、晩秋の蛾で、関東地方周辺では平地~低山地で10~11月に、九州では11~12月頃に出現するが、少ない。
ソトカバナミシャク,Eupithecia signigera Butler, 1879),"年1化, 3~4月",年1化、関東地方では3~4月に出現し、平地から山地まで普通に見られる。
キモンカバナミシャク,Eupithecia flavoapicaria Inoue, 1979),12~1月,これまでに記録された産地は福岡県大牟田市と宮崎県延岡市の2か所だけで、12~1月にごくわずかな個体が採れているだけである。
ヒメカバナミシャク,Eupithecia aritai Inoue, 1977),"年1化, 3~4月",年1化、主に低山地で3~4月に出現するが非常に少ない。
ナガイカバナミシャク,Eupithecia nagaii Inoue, 1963),"年1化, 3~4月",年1化、山地で3~4月にに出現するが、産地は限定され、個体数は少ない。屋久島では比較的多く見られる。
アキカバナミシャク,Eupithecia subfumosa Inoue, 1965),"年1化, 11月",年1化、秋の蛾。東京都、香川県、徳島県などで11月に採れているが、局地的で少ない。
フタシロスジカバナミシャク,Eupithecia melanolopha Swinhoe, 1895),"年2化以上の可能性あり, 5~10月",本州では産地は限られ、5~10月に出現するが少ない。年2化以上するのかもしれない。
ムラサキカバナミシャク,Eupithecia rigida Swinhoe, 1892),"2~12月",記録は少なく、2~5月と12月に採れているがくわしい周年経過は不明。
ナカアオナミシャク,Eupithecia sophia Butler, 1878),"年2化, 4~10月",年2化で、平地から山地まで広く分布し、4~6月と9~10月に出現する。
エゾチビナミシャク,Eupithecia jezonica Matsumura, 1927),7~9月,前種よりも分布域が広く、本州ではほぼ全域で7~9月に採れているが、前種との混生地は少なく、出現期にも違いがある。
オオモンカバナミシャク,Eupithecia okadai Inoue, 1958),"年1化, 4~5月",年1化、4~5月に山地で得られるが少ない。
シロモンカバナミシャク,Eupithecia spadix Inoue, 1955),"年2化, 4~8月",年2化、主に山地で見られるが、産地はあまり多くない。関東地方の山地では4~5月と7~8月に出現するが少ない。
ヤスジカバナミシャク,Eupithecia mandschurica Staudinger, 1897),"年1化, 6~9月",関東地方では低山地から山地で6~9月に普通に見られる。おそらく年1化。
クロテンヤスジカバナミシャク,Eupithecia interpunctaria Inoue, 1979),"年1化, 8~10月",山地で8~10月に採れるが、多くない。おそらく年1化。
ホソチビナミシャク,Eupithecia absinthiata (Clerck, 1759),"年1化, 7~8月",年1化、本州中部地方の山地では7~8月に採れる。
ホタカカバナミシャク,Eupithecia korbi Dietze, 1908),7~9月,日本からは長野県上高地岳沢で1959年7月に採れた1♂が知られているのみ。中国では8~9月に採集されている。
セアカカバナミシャク,Eupithecia quadripunctata Warren, 1888),"年2化, 4~9月",平地から山地まで広く生息する。年2化で4~5月と8~9月に出現する。
フタモンカバナミシャク,Eupithecia repentina Vojnits & Laever, 1978),"年2化, 4~10月",年2化、4~5月と9~10月に各地で普通に採れる。
ハラキカバナミシャク,Eupithecia subtacincta Hampson, 1895),"年1化, 7~8月",平地から山地まで広く分布し、7~8月に多産する。年1化。
ミジンカバナミシャク,Eupithecia addictata Dietze, 1908),"年2化, 6~9月",各地で6~9月に普通に産する。おそらく年2化。
イイジマカバナミシャク,Eupithecia thalictrata Püngeler, 1902),"年1化, 6~7月",北海道各地で6~7月に出現し、比較的多い。年1化。
ウスイロヤスジカバナミシャク,Eupithecia kurilensis Bryk, 1942),"年1化, 6~8月",北海道で6~8月に得られるが少ない。おそらく年1化。
ウラモンウストビナミシャク,Eupithecia scribai Prout, 1938),"年1化, 7~8月",本州中部地方ではおよそ1500m以上の山地で7~8月に出現するが、あまり多くない。年1化。
ウストビナミシャク,Eupithecia amplexata Christoph, 1881),"年1化, 7~8月",山地で7~8月に出現するが、前種より少ない。
オオウストビナミシャク,Eupithecia pernotata Guenée, 1857),"年1化, 6~7月",年1化、本州中部地方では、山地で6~7月に出現するが、産地は限定され、個体数は非常に少ない。北海道では各地に比較的多い。
アルプスカバナミシャク,Eupithecia veratraria Herrich-Schäffer, 1848),7~8月,本州では主に亜高山~高山帯で7~8月に出現するが、より標高の低い山地でも採れている。
シロシタカバナミシャク,Eupithecia conterminata (Zeller, 1846),"年1化, 6月",年1化、本州中部地方の高標高の山地で6月に採れているが、産地は限定され、非常にめずらしい。
ミスジカバナミシャク,Eupithecia neosatyrata Inoue, 1979),4月下旬,香川県坂出市白峰で4月下旬に採れた2♂1♀しか知られていない。
アミモンカバナミシャク,Eupithecia insignioides Wehrli, 1923),年2化, 4~9月,分布は広いが産地は限られる。年2化で、4~5月と9~10月に出現するが、非常に少ない。
カラスナミシャク,Eupithecia caliginea Butler, 1878),"年1化, 5~6月",年1化、5~6月に採れているが、局地的で個体数はきわめて少ない。
ジンボカバナミシャク,Eupithecia jinboi Inoue, 1976),"年1化, 7~8月",年1化、本州中部地方では亜高山から高山帯で7~8月に採れるが、あまり多くない。
カメダカバナミシャク,Eupithecia detritata Staudinger, 1897),"年1化, 5~7月",北海道では広く分布し、5~7月に得られている。おそらく年1化。本州では5~6月に少数が採れているだけである。
オビカバナミシャク,Eupithecia selinata Herrich-Schäffer, 1861),"年2化, 5~9月",おそらく年2化で、関東地方周辺では5~6月と8~9月に出現し、平地から山地まで普通に見られる。
チャバネカバナミシャク,Eupithecia kobayashii Inoue, 1958),"年2化, 5~9月",おそらく年2化、山地で5~9月に採れるが、多くない。
スジグロカバナミシャク,Eupithecia supercastigata Inoue, 1958),9~10月,秋の蛾で、主に平地から低山地で9~10月に得られるが、非常に少ない。
クロモンカバナミシャク,Eupithecia consortaria Leech, 1897),8~9月,関東地方では山地で8~9月に採れるが少ない。
ウラモンカバナミシャク,Eupithecia actaeata Walderdorff, 1869),5~9月,関東地方周辺では山地で5~6月と8~9月に採れているが、あまり多くない。
ミヤマカバナミシャク,Eupithecia impavida Vojnits, 1979),7~8月,7~8月に山地で出現するが少ない。
フジカバナミシャク,Eupithecia groenblomi Urbahn, 1969),7~8月,北海道には比較的広く分布しているが、個体数は少ない。本州では産地は限定され、亜高山帯で7~8月に採れているが、きわめてまれ。
ツシマカバナミシャク,Eupithecia persuastrix Mironov, 1990),"9~10月",秋の蛾で、9~10月に採れている。
ハネナガカバナミシャク,Eupithecia takao Inoue, 1955),春,年1化、春に出現し、各地で普通に産する。
クロスジカバナミシャク,Eupithecia ancillata Mironov & Galsworthy, 2004),4月下旬,対馬で4月下旬、中国や朝鮮半島南部では4~5月に採れているので、春の蛾かも知れない。
シロテンカバナミシャク,Eupithecia tripunctaria Herrich-Schäffer, 1855),4~9月,おそらく年2化で、4~9月に各地で普通に採れる。
クニガミカバナミシャク,Eupithecia ryukyuensis Inoue, 1971),"年1化, 9~11月",秋の蛾で、年1化、9~11月に出現するが少ない。
トシマカバナミシャク,Eupithecia tenuisquama (Warren, 1896),"年2化, 3~10月",年2化で、3~4月と10月頃に出現する。かつては本州では主に東海地方以西に分布していたが、最近では関東地方でも平地から低山地で多産する。
クロシオカバナミシャク,Eupithecia kuroshio Inoue, 1980),春,"春の蛾で、四国や九州では3~4月に出現するが、あまり多くない。沖縄島では1~3月に多産する。"
クロテンカバナミシャク,Eupithecia emanata Dietze, 1908),"年2化, 4~9月",年2化で、4~5月と8~9月に出現する。分布は広く、各地で多産する。
アザミカバナミシャク,Eupithecia virgaureata Doubleday, 1861),"年2化, 4~10月",年2化、関東地方では4~5月と9~10月に出現し、平地から山地まで各地で多産する。
ホソカバスジナミシャク,Eupithecia lariciata (Freyer, 1842),"年1化, 6~8月",比較的人口の高い山地で6~8月に出現し、多い。おそらく年1化。
マダラカバスジナミシャク,Eupithecia tantilloides Inoue, 1958),"年1化, 4~6月",年1化、山地で4~6月に出現するが、前種よりも低標高のところに多い。
シコクカバナミシャク,Eupithecia shikokuensis Inoue, 1980),5~6月,非常にまれな種で、神奈川県、愛知県、三重県、愛媛県、徳島県、熊本県で、5~6月に数頭が採れているだけである。
マスイカバナミシャク,Eupithecia pusillata (Denis & Schiffermüller, 1775),10~11月,晩秋の蛾で、10~11月に出現するが、分布は局地的で個体数も非常に少ない。
キナミウスグロナミシャク,Eupithecia subfuscata (Haworth, 1809),"年1化, 6~7月",年1化、6~7月に山地で普通。
ウススジヒメカバナミシャク,Eupithecia homogrammata Dietze, 1908),"年1化, 7~8月",年1化、関東地方では山地で7~8月に出現するが、局地的で少ない。
ムネシロテンカバナミシャク,Eupithecia maenamiella Inoue, 1980),"年1化, 5~6月",年1化、5~6月に採集されているが、非常に局地的で少ない。
グンマカバナミシャク,Eupithecia ebriosa Vojnits, 1979),8月下旬~9月,山形県、新潟県で8月下旬~9月に局所的に採れている。
ナカグロチビナミシャク,Eupithecia daemionata Dietze, 1903),"年1化, 3~4月",年1化で、3~4月に平地から山地まで各地に多い。
ヨホシナミシャク,Eupithecia costimacularia Leech, 1897),"年1化, 3~4月",昼間活動するが、灯火にも飛来する。年1化、春の蛾で、関東地方では3~4月に平地や低山地で採れるが少ない。
ヤクシマカバナミシャク,Eupithecia yakushimensis Inoue, 1980),"年1化, 9~10月",おそらく年1化で秋にのみ出現するものと思われる。
クロマダラカバナミシャク,Eupithecia pygmaeata (Hübner, 1799),"6月",6月に少数の個体が採集されているだけのめずらしい蛾。おそらく年1化。
クロバネカバナミシャク,Eupithecia zibellinata Christoph, 1881),6月,非常にまれな蛾で、ごくわずかな個体が6月に採れている。
チャイロカバナミシャク,Eupithecia pseudassimilata Viidalepp & Mironov, 1988),"年1化, 6~7月",年1化、6~7月に出現するが、局地的で少ない。
シロオビカバナミシャク,Eupithecia suboxydata Staudinger, 1897),6~7月,北海道での分布は広く、6~7月に各地で採れている。
オガサワラカバナミシャク,Eupithecia costalis Walker, 1869),3月,小笠原諸島(母島)で3月に採集された1♂しか知られていない。
ナカジマチビナミシャク,Casuariclystis latifascia (Walker, 1866),4月, 7~8月,小笠原諸島では7~8月に、西表島では4月に採れている。
ホソバチビナミシャク,Spiralisigna subpumilata (Inoue, 1972),"年2~3化, 4~10月",分布が広く、4~10月に平地から山地まで各地で採れるが、あまり多くない。おそらく年2~3化。
イシガキチビナミシャク,Eriopithex ishigakiensis (Inoue, 1971),"5月, 11月",5月、11月に採れた記録があるが、個体数は非常に少ない。
クニガミチビナミシャク,Eriopithex lanaris Warren, 1896),11月,沖縄島で1994年11月に採れた1♀が知られているのみ。
テルクビチビナミシャク,Gymnoscelis pseudotibialis Holloway, 1997),7月,日本では沖縄島で1981年7月に採集された1♀しか記録がない。
ケブカチビナミシャク,Gymnoscelis esakii Inoue, 1955),"年2~3化, 5~10月",5~10月に平地から低山地で普通に見られる。おそらく年2~3化すると思われる。
ウスチャイロチビナミシャク,Gymnoscelis albicaudata Warren, 1897),未詳,日本では熊本県で採れた1♀しか記録がない。
トベラクロスジナミシャク,Gymnoscelis tristrigosa (Butler, 1880),不明,南西諸島ではほぼ一年中成虫の発生が見られるが、あまり多くない。
ヒラドチビナミシャク,Gymnoscelis imparatalis (Walker, 1866),10月,最近、長崎県で10月に2♂か採集されただけのめずらしい種。
ウスムラサキチビナミシャク,Gymnoscelis deleta (Hampson, 1891),ほぼ一年中,3,5,6,9,11月とほぼ一年中採集されているが、産地は限定され、個体数は非常に少ない。
ユリカチビナミシャク,Gymnoscelis yurikae Inoue, 2002),不明,本種は幼虫を飼育・羽化させた標本によって記載されたもので、それ以降も幼虫は採集されているが、野外で成虫が採集された記録は石垣島の1♀だけである。くわしい周年経過は不明。
マルバネチビナミシャク,Gymnoscelis admixtaria (Walker, 1862),2~6月,2~3月、6月に採れているが、非常に少ない。
オガサワラチビナミシャク,Gymnoscelis boninensis Inoue, 1994),"3月, 7~8月","3月、7~8月に採れているが、あまり多くない。"
ウラジロチビナミシャク,Gymnoscelis montgomeryi Inoue, 1994),"3月, 7~8月",3月および7~8月に出現するが、個体数は少ない。
ウラグロチビナミシャク,Gymnoscelis melaninfra Inoue, 1994),"3月, 7月",母島の乳房山で1980年7月に採集された1♂しか知られていなかったが、同地で2010年3月に数頭の♂♀が採集された。
シタベニチビナミシャク,Gymnoscelis semialbida (Walker, 1866),未詳,日本産は1983年に奄美大島で採集された1♀しか知られていない。
カギモンチビナミシャク,Glaucoclystis polyclealis (Walker, 1859),1,3,5,10月,ごく少数の成虫が1、3、5、10月に得られている。
クロテンアオナミシャク,Glaucoclystis azumai (Inoue, 1971),"年2~3化, 3~11月",おそらく年2~3化するものと思われ、3~11月に採れている。
ミナミチビナミシャク,Glaucoclystis satoi Inoue, 2002),6,9月,台湾では山地で4~8月に採れている。
クロスジアオナミシャク,Chloroclystis v-ata (Haworth, 1809),"年2化, 4~9月",平地から産地まで広く分布し、おそらく年2化、4~5月と8~9月に各地に多い。
アマミアオナミシャク,Chloroclystis neoconversa Inoue, 1971),3~12月,南西諸島では3~12月まで、ほぼ毎月採集されている。
リンゴアオナミシャク,Pasiphila rectangulata (Linnaeus, 1758),"年1化, 6~8月",年1化、6~8月に出現する。
クロフウスアオナミシャク,Pasiphila chloerata (Mabille, 1870),"年1化, 5~7月",平地から山地まで産し、年1化で5~7月に各地に多い。
ハラアカウスアオナミシャク,Pasiphila obscura (West, 1929),"年1化, 5~7月",年1化、5~7月に出現し、平地から山地まで普通に見られる。
テンスジアオナミシャク,Pasiphila debiliata (Hübner, 1817),5,6月,記録された産地は少なく、兵庫県で6月に採れた1♀と、北海道で5月に幼虫から飼育・羽化させた2♂2♀しか知られていない。
ウラモンアオナミシャク,Pasiphila subcinctata (Prout, 1915),年1化, 7~8月,年1化、低山から山地で7~8月に出現する。
チビアオナミシャク,Pasiphila kumakurai (Inoue, 1958),"年1化, 7~8月",年1化、7~8月に出現し、比較的標高の高い山地に多い。
ソトシロオビナミシャク,Pasiphila excisa (Butler, 1878),"年2~3化, 5~10月",関東地方では年に2~3化し、5~10月に各地に多い。
マダラアオナミシャク,Pasiphila hypopyrrha (West, 1929),6~8月,本州中部地方山地では6~8月に出現する。
アトシロモンカバナミシャク,Axinoptera anticostalis Galsworthy, 1999),6~10月,6~10月に採集されているが、産地が限られ、個体数も非常に少ない。
サキシマチビナミシャク,Bosara atypha (Prout, 1958),3~7月,3~7月に採れている。
ヒトスジチビナミシャク,Bosara kadooriensis Galsworthy, 2003,3,7,11~12月,3月、7月、11~12月に採集されているが少ない。
テングナミシャク,Collix stellata Warren, 1894),"年2~3化, 5~10月",年に2~3化し、5~10月に採れている。
オオサビイロナミシャク,Collix ghosha Walker, 1862),"年2~3化, 3~12月","3~12月に見られ、おそらく年に2~3化する。"
トラノオナミシャク,Anticollix sparsata (Treitschke, 1828),6~8月,関東地方の山地では6~8月に出現する。
アオスジナミシャク,Echthrocollix minuta (Butler, 1881),"年2化, 4~8月",東北地方では宮城県から記録があるだけで、主に関東地方以西に分布。4~8月に出現するが、あまり多くない。おそらく年2化。
マエフタテンナミシャク,Herbulotia agilata (Christoph, 1881),"年2化, 6~9月",本州中部地方山地では6~9月に出現するが少ない。おそらく年2化。
アトシロナミシャク,Horisme tersata (Denis & Schiffermüller, 1775),"年2化, 4~8月",年2化で4~5月と7~8月に出現し、多産する。
ボタンヅルナミシャク,Horisme vitalbata (Denis & Schiffermüller, 1775),不明,分布は広いが局地的で、個体数は非常に少ない。
トガリバナミシャク,Horisme stratata (Wileman, 1911),秋,秋の蛾、関東地方の山地では9~10月に出現するが、少ない。
サビイロナミシャク,Pseudocollix hyperythra (Hampson, 1895),"年2~3化, 3~12月",おそらく年2~3化で、3~8月に採れている。西表島では12月にも採集されている。
クロテンサビイロナミシャク,Pseudocollix kawamurai (Inoue, 1972),"年2~3化, 3~10月",おそらく年2~3化、3~10月に採集されているが、非常に少ない。
ナカジロナミシャク,Melanthia procellata (Denis & Schiffermüller, 1775),4~10月,平地から山地まで広く分布し、関東地方周辺では4~10月に見られ、各地に普通。
リュウキュウナカジロナミシャク,Melanthia catenaria (Moore, 1868),"2~3月, 10~12月",2~3月と10~12月に採れている。
カレハガ科,LASIOCAMPIDAE,,
ヒロバカレハ,Gastropacha quercifolia (Linnaeus, 1758),8月,8月に成虫が得られているが、少ない種である。
ワタナベカレハ,Gastropacha clathrata Bryk, 1949),"年1化, 8月",8月に得られており、年1化と考えられる。産地は局地的で少ない種で、特に♀はまれである。
カレハガ,Gastropacha orientalis Sheljuzhko, 1943),"年2化, 6~9月",年2化、6~7月と8~9月に出現する。平地、山地に産するがあまり多くない。
ホシカレハ,Gastropacha populifolia (Esper, 1783),"年2化, 5~10月",年2化、5~7月と8~10月に出現する。平地、山地に産する。♂はよく得られるが、♀はなかなか得難い。
ヒメカレハ,Phyllodesma japonica (Leech, 1889),"年1化, 4~5月",年1化、4~5月に出現する。平地、山地に産するがあまり多くなく、特に♀は少ない。
タカムクカレハ,Cosmotriche lobulina (Denis & Schiffermüller, 1775),"年1化, 6~8月",年1化、6~8月に出現する。北海道大雪山では8月に卵、幼虫、成虫が見られることから、成虫になるまでに3年かかると推定されている。
ウスマダラカレハ,Pyrosis idiota Graeser, 1888),"年1化, 4~5月",年1化、4~5月に出現する。まれな種で、とくに♂は夜間灯火に飛来しないためか、ほとんど得られていない。
タケカレハ,Euthrix albomaculata (Bremer, 1861),"年2化, 5~8月",年2化で、5~6月および8月に出現する。幼虫で越冬する。平地、山地に普通に産する。
ヨシカレハ,Euthrix potatoria (Linnaeus, 1758),"年1化, 7~8月",年1化、7~8月に出現する。山地性の種で、本州中部地方の高原などでは多産する。
タケヒメカレハ,Euthrix laeta (Walker, 1855),"年1化, 7~8月",年1化、7~8月に出現する。
ギンモンカレハ,Somadasys brevivenis (Butler, 1885),"年2化, 6~9月",年2化、6~9月に出現。平地、山地に普通だが、♀はまれ。
スカシカレハ,Amurilla subpurpurea (Butler, 1881),"年1化, 7月",年1化、7月に出現する。高標高地や寒冷地で多く採集される。
リンゴカレハ,Odonestis pruni (Linnaeus, 1758),"年2化, 6~10月",年2化、6~10月に出現する。平地、山地に普通に産する。
マツカレハ,Dendrolimus spectabilis (Butler, 1877),"年1化, 6~10月",年1化、6~7月に出現する。まれに2化の個体が9~10月に出現することもある。幼虫で越冬する。
オキナワマツカレハ,Dendrolimus okinawanus Sonan, 1934,年2化以上,年2化以上。
ツガカレハ,Dendrolimus superans (Butler, 1877),"年1化, 7~10月",年1化、7~8月に出現する。まれに2化目の個体が9~10月に出現するという。幼虫で越冬する。各地に普通に産する。
クヌギカレハ,Kunugia undans (Walker, 1859),"年1化, 9~10月",年1化、9~10月に出現する。卵で越冬する。平地、山地に普通に産する。
イワサキカレハ,Kunugia iwasakii (Nagano, 1917),"年1化, 11~1月",年1化、11~1月に出現する。
ヤマダカレハ,Kunugia yamadai Nagano, 1917),"年1化, 10~11月",年1化、10~11月に出現する。平地の雑木林に産し、ふだんの年は、個体数は少なく得にくい種であるが、ときに大発生をすることがある。
ムラクモカレハ,Lebeda nobilis Walker, 1855),不明,2003年頃に大阪府和泉市信太山の丘陵地で発見され、その後、同地では大発生した。
ミヤケカレハ,Takanea miyakei Wileman, 1915),"年1化, 6~8月",年1化、6~7月に出現する。産地では個体数は多いが、♀はめったに採れない。和歌山県熊野地方では2月に得られており、飛騨山脈の高標高地では8月に得られたこともある。
オオミヤケカレハ,Takanea excisa (Wileman, 1910),7~8月,7~8月に出現する。灯火に飛来するが、少ない種のようである。特に♀はまれなようで、検することができなかった。
ウスズミカレハ,Poecilocampa takamukui Matsumura, 1928),晩秋から初冬,年1化、晩秋から初冬にかけて出現する。寒い時期に出現するので、採るのは難しい。
オビカレハ,Malacosoma neustrium (Linnaeus, 1758),年1化、5~7月,年1化、平地では5~6月、山地では6~7月に出現する。卵は小枝にらせん状に産付され、そのまま越冬する。平地、山地に普通。
シカタカレハ,Malacosoma dentatum Mell, 1938),"年1化, 6月",年1化、6月に出現する。出現時期にはそれほどめずらしいものではないようである。
オビガ,Apha aequalis (Felder, 1874),"年2化, 春と夏",平地、山地に普通に見られ、♂は灯火によく飛来するが、♀は灯火に飛来することはまれで、なかなか得られない。年2化、春と夏に出現するが、10月まで残っている個体もある。
カイコ,Bombyx mori (Linnaeus, 1758),"年1化または多化",年1化、および年多化。
クワコ,Bombyx mandarina (Moore, 1872),"年3回程度, 6~11月",各地に普通に産し、年3回程度の発生と考えられ、6~11月に得られる。卵で越冬する。
オオクワゴモドキ,Oberthueria falcigera (Butler, 1878),年2化、春と夏,成虫は年2化、春と夏に出現する。平地、山地に普通であるが、♀は灯火にほとんど飛来しないので得にくい。蛹で越冬する。
テンオビシロカサン,Ernolatia moorei (Hutton, 1865),"4~12月",成虫は、台湾で4月から11月に採集されており、ほぼ周年見られるようであるが、石垣島で12月に採集されたということは興味深い。
イチジクカサン,Trilocha varians (Walker, 1855),多化性, 1,4,5,10月,石垣島で1月、西表島で5月に少数採集されている。中国では4~10月まで多化することが知られている。
カギバモドキ,Pseudandraca gracilis (Butler, 1885),"年2化, 4~8月",年2化し、4~5月と7~8月の2回出現する。山地に産するが、あまり多くはなく、特に♀は得難い。蛹で越冬する。
スカシサン,Prismosticta hyalinata (Butler, 1885),"年1化, 5,7,8月",成虫は年1化で、7,8月に得られているが、5月に得られた記録もあるので、一部では2化しているのかもしれない。
ヨナグニサン,Attacus atlas (Linnaeus, 1758),"年2化, 5~9月",台湾では年2化、5~6月と8~9月に出現することが知られているが、日本では、はっきり知られていない。蛹で越冬する。
シンジュサン,Samia cynthia (Felder & Felder, 1773),"年1化または年2化, 5~9月",日本の亜種は暖帯地では年2化、5~6月と8~9月に、寒冷地では年1化、7~8月に出現する。蛹化の際は食樹の葉を縦に巻いてかたい繭をつくる。蛹で越冬する。
ヒマサン,Samia ricini (記載年不明),年5世代,年5世代ほど発生を繰り返す。
ヤママユ,Antheraea yamamai (Guérin-Méneville, 1861),"年1回, 夏から初秋",年1回の発生で、夏から初秋に出現する。卵で越冬する。
サクサン,Antheraea pernyi (Guérin-Méneville, 1855),年2回,年2回発生し、蛹で越冬する。
ヒメヤママユ,Saturnia jonasii (Butler, 1877),"年1化, 9~11月",年1化、成虫は9~11月の秋期に出現し、各地に普通に産する。卵で越冬する。
クスサン,Saturnia japonica (Moore, 1872),年1化、夏の終わりから初秋,年1化、夏の終わりから初秋に出現する。卵で越冬する。
クロウスタビガ,Rhodinia jankowskii (Oberthür, 1880),年1化、秋,年1化、秋に出現し、本州中部地方では10月10日前後が最盛期である。♂♀ともに灯火によく飛来する。卵で越冬する。
ウスタビガ,Rhodinia fugax (Butler, 1877),年1化、秋,年1化、秋に出現するが、前種より出現は遅い。平地では12月になっても得られることがある。卵で越冬する。
ハグルマヤママユ,Loepa sakaei Inoue, 1965),3~11月,3月から11月まで成虫が見られるが、個体数が多いのは5月下旬と9月である。化数や越冬態はよくわかっていない。
オオミズアオ,Actias aliena (Butler, 1879),"年1~3化, 5~10月",年1~2化、5~8月に出現する。3化目と考えられる個体が10月に採集されたこともある。落葉の中で繭をつくり、蛹で越冬する。
オナガミズアオ,Actias gnoma (Butler, 1877),"年1~2化, 5~8月",年1~2化、5~8月に出現する。老熟幼虫は食樹から降り、落葉の中で繭をつくって蛹で越冬する。
エゾヨツメ,Aglia japonica Leech, 1889),"年1化, 2, 8月",年1化、春に出現するが、和歌山県熊野地方では2月に得られており、飛騨山脈の高標高地では8月に得られたこともある。♂は薄暮時に活発に飛翔し、日没後すぐに灯火に飛来する。蛹で越冬する。
イボタガ,Brahmaea japonica Butler, 1873),年1化、春,年1化春に出現する。灯火への飛来時間はやや遅く、午後10時以降に多い。土中で蛹化し、蛹で越冬する。
エビガラスズメ,Agrius convolvuli (Linnaeus, 1758),"年2化, 5~11月",年2化、5~11月頃に出現する。蛹は大きな小腮環をもち、土中越冬。
クロメンガタスズメ,Acherontia lachesis (Fabricius, 1798),"年1化, 3, 7~8月",年1化、7~8月に出現。小笠原諸島では3月に得られている。
メンガタスズメ,Acherontia styx (Westwood, 1847),"年1~2化, 夏期",年1~2化、夏期に出現する。
エゾシモフリスズメ,Meganoton analis (Felder, 1874),"年1化, 6~8月",年1化、6月から8月頃に出現する。山地に生息する。
シモフリスズメ,Psilogramma increta (Walker, 1865),年1化、夏期,年1化、夏期に出現する。暖地、平地に普通。
エゾコエビガラスズメ,Sphinx ligustri Linnaeus, 1758),年1化、夏期,年1化、夏期に出現する。
コエビガラスズメ,Sphinx constricta Butler, 1885),"年2化, 5~8月",年2化、5~8月に出現する。未明に灯火に飛来する。
マツクロスズメ,Sphinx morio (Rothschild & Jordan, 1903),"年1化, 7~8月",年1化、7~8月に出現する。明け方に灯火に飛来するが、♀は得難い。
クロスズメ,Sphinx caliginea (Butler, 1877),"年2化, 5~9月",年2化、5~6月、8~9月に出現する。趨光性が弱いようで灯火にあまり飛来しない。日中、マツの幹に静止しているのがよく発見される。
オビグロスズメ,Sphinx crassistriga (Rothschild & Jordan, 1903),"年1化, 7~8月",年1化、7~8月に出現する。日本産スズメガの中で最稀種の1つとして知られている。
クロテンケンモンスズメ,Kentrochrysalis consimilis Rothschild & Jordan, 1903),"年1化, 5~8月",年1化と思われる。5月から8月に出現する。山地に普通。
サザナミスズメ,Dolbina tancrei Staudinger, 1887),"年2~3化, 4~9月",年2~3化、4月から9月に出現する。低地、平地に普通に産し、都市部でもよく見られる。
ヒメサザナミスズメ,Dolbina exacta Staudinger, 1892),"年2~3化, 4~9月",年2~3化、4月から9月に出現する。山地に多い。
タイワンサザナミスズメ,Dolbina inexacta (Walker, 1856),"年2~3化, 3~9月",3月から9月に記録がある。年2~3化と思われる。
アジアホソバスズメ,Ambulyx sericeipennis Butler, 1875),"年1化または年2化, 3~9月",3~9月に記録がある。年2化と思われるが、北海道では1化。
モンホソバスズメ,Ambulyx schauffelbergeri Bremer & Grey, 1853),"年1化または年2化, 5~8月",山地では7~8月に出現し年1化と思われるが、本州低地では年2化、5~6月と7~8月に出現する。
ホソバスズメ,Ambulyx ochracea Butler, 1885),"年2化, 5~7月",年2化、5~7月に出現する。平地、山地に普通。
フトオビホソバスズメ,Ambulyx japonica Rothschild, 1894),"年1化, 5~8月",年1化、5~8月に出現する。
トビイロスズメ,Clanis bilineata (Walker, 1866),"年1化, 6~8月",年1化、6~8月に出現する。幼虫越冬で翌春蛹化する。平地、山地に普通。
ハガタスズメ,Polyptychus chinensis Rothschild & Jordan, 1903),4~8月,4~8月に得られている。くわしい化性は不明。
