account_number,pdf_page,printed_page,side,source_japanese_name,source_scientific_name,current_insect_ids,source_scope,application_targets,excluded_targets,scope_reason,objective_ecology,parasitism_fact,existing_note_ids,decision,evidence_note
148,75,372,left,イタドリオマルアブラムシ,Macchiatiella itadori (Shinji),species-21419,species_level_unqualified,species-21419,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,夏寄主はイタドリ、冬寄主はクロウメモドキで、山野に普通に見られる。,葉裏に寄生し、コロニーは大きい。クロウメモドキでは茎に寄生する。,,add_verified_fields,原画像 page-075.jpg left の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
149,75,373,right,オオバコアブラムシ,Dysaphis plantaginea (Passerini),species-21390,species_level_unqualified,species-21390,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,路傍のオオバコに寄生する広分布の普通種で、アリが訪れたコロニーは土砂で覆われることが多い。,地ぎわの葉柄に多く、葉裏にも寄生する。コロニーは大きい。,,add_verified_fields,原画像 page-075.jpg right の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
150,76,374,left,キュウコンネアブラムシ,Dysaphis tulipae (Boyer de Fonscolombe),species-21389,species_level_unqualified,species-21389,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,世界に広く分布する花卉球根害虫で、チューリップ等のほか貯蔵球根にも発生する。日本では輸入球根の検疫時にも確認され、近年は関東・近畿の一部でも発生が知られる。,地ぎわに多く寄生し、コロニーは大きい。,,add_verified_fields,原画像 page-076.jpg left の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
151,76,375,right,ニセダイコンアブラムシ,Lipaphis erysimi (Kaltenbach),species-21416,species_level_unqualified,species-21416,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,世界的なアブラナ科野菜害虫で、ウイルス病の媒介種でもある。日本では春と秋にダイコン・キャベツで大発生し、単性世代での越冬と両性世代の双方が知られる。,多くは葉裏に、秋季には下葉に多く、コロニーは大きい。,,add_verified_fields,原画像 page-076.jpg right の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
152,77,376,left,ハマナスオナガアブラムシ,Longicaudus trirhodus (Walker),species-21418,species_level_unqualified,species-21418,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,冬寄主はバラ類、夏寄主はカラマツソウ類で、広く分布する普通種である。,葉裏に多く寄生し、コロニーは小さい。春は生長点の茎にも寄生する。,,add_verified_fields,原画像 page-077.jpg left の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
153,77,377,right,ムギワラギクオマルアブラムシ,Brachycaudus helichrysi (Kaltenbach),species-21341,species_level_unqualified,species-21341,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,ヨーロッパに広く分布し、冬寄主はウメ・スモモ類、夏寄主は多種のキク科植物である。寄生葉を巻縮させる。,新芽と葉裏に多い。寄生された葉は巻縮する。コロニーは大きい。,,add_verified_fields,原画像 page-077.jpg right の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
154,78,378,left,ダイコンアブラムシ,Brevicoryne brassicae (Linné),species-21344,species_level_unqualified,species-21344,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,世界各地で知られるアブラナ科野菜の農業害虫で、日本では春の菜種上部などに群生する。,茎、葉裏、花穂などに多く、コロニーは極めて大きい。,,add_verified_fields,原画像 page-078.jpg left の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
155,78,379,right,ヨモギクビレアブラムシ,Coloradoa artemisiae (Del Guercio),species-23135,species_level_unqualified,species-23135,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,ヨモギ属のみに寄生し、キクには寄生しない。,新葉の裏面に多く、コロニーはやや大きい。,,add_verified_fields,原画像 page-078.jpg right の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
156,79,380,left,キククビレアブラムシ,Coloradoa rufomaculata (Wilson),species-21379,species_level_unqualified,species-21379,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,キク属植物に広く寄生する普通種で、露地・施設栽培のキク害虫として知られる。最初の記録はインドの栽培菊からである。,生長点の茎、葉裏に寄生し、コロニーは小さい。,,add_verified_fields,原画像 page-079.jpg left の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
157,79,381,right,ヨモギコアブラムシ,Micraphis artemisiae (Takahashi),species-23136,species_level_unqualified,species-23136,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,,生長部の茎に寄生し、コロニーは小さい。,note-1005303|note-1005304,delete_wrong_account_notes_and_add_verified_fields,原画像 page-079.jpg right の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。 形態記載・分類比較・寄主名一覧を除くと、独立した客観的生態記述はない。 既存注記 note-1005303;note-1005304 は原画像と照合して判断した。
158,80,382,left,ハナウドチビクダアブラムシ,Semiaphis heraclei (Takahashi),species-21490,species_level_unqualified,species-21490,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,夏はハナウド・ノダケなどのセリ科植物に群生し、ときにニンジン害虫となる。冬寄主はヤマウグイスカグラで、広く分布する普通種である。,生長部の茎に多く、葉裏にも寄生する。コロニーは寄主植物により異なる。,,add_verified_fields,原画像 page-080.jpg left の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
159,80,383,right,ヨモギクダナシアブラムシ,Cryptosiphum artemisiae Buckton,species-21291,species_level_unqualified,species-21291,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,ヨモギの被寄生葉は葉縁が下方に巻いて袋状となり、緑色から黄赤色へ変色する。ヨーロッパからアジアに広く分布し、日本でも普通である。,新葉の裏面に多く、コロニーは小さい。,note-1005305,replace_corrupt_notes_with_verified_fields,原画像 page-080.jpg right の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。 既存注記 note-1005305 は原画像と照合して判断した。
160,81,384,left,ミカンミドリアブラムシ,Aphis citricola van der Goot,species-21275,species_level_unqualified,species-21275,,原典が Aphis spiraecola を表記種のシノニムとして扱うため、現行 A. spiraecola に対応付けた。,広分布の多食性普通種で、日本ではユキヤナギ・コデマリ・リンゴ・ボケ類などで卵越冬し、夏は多種の草本に寄生する。ミカン・果樹・花卉の害虫として知られる。,新梢の茎、葉裏に多く、コロニーは大きい。,note-1005306|note-1005307,replace_corrupt_notes_with_verified_fields,原画像 page-081.jpg left の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。 既存注記 note-1005306;note-1005307 は原画像と照合して判断した。
161,82,386,left,クサギアブラムシ,Aphis clerodendri Matsumura,species-21224|species-21225|species-21226,species_level_shared_to_current_subspecies,species-21225|species-21226,species-21224,原典は亜種を限定しない Aphis clerodendri の記述なので、現行の amamiana と clerodendri の双方へ共有し、重複する種レベル親行は除外する。,春から初夏に多く現れ、クサギの葉を顕著に巻縮させて下方へ巻く。春の個体は大型、夏の個体は小型である。,新葉の裏面に多く寄生する。コロニーは春に大きく夏は小さい。,,add_verified_fields,原画像 page-082.jpg left の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
162,82,387,right,ツユクサアブラムシ,Aphis commelinae Shinji,species-21219,species_level_unqualified,species-21219,,現行台帳の Aphis acanthopanaci のシノニム欄に A. commelinae があるため対応付けた。,ツユクサに寄生する普通種である。,葉裏、花に点在して寄生することが多い。,,add_verified_fields,原画像 page-082.jpg right の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
163,83,388,left,マメアブラムシ,Aphis craccivora Koch,species-21228|species-21229|species-21230,species_level_shared_to_current_subspecies,species-21229|species-21230,species-21228,原典は亜種を限定しない Aphis craccivora の記述なので、現行の craccivora と pseudacaciae の双方へ共有し、重複する種レベル親行は除外する。,世界各地に分布するマメ科作物害虫で、日本でもアズキ・ソラマメ・インゲンなどで大発生することがある。,茎、種実の莢などに多く寄生し、コロニーは大きい。,,add_verified_fields,原画像 page-083.jpg left の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
164,83,389,right,エゴマアブラムシ,Aphis egomae Shinji,species-21233,species_level_unqualified,species-21233,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,ワタアブラムシに似るが極めて小型で、エゴマ類に寄生する。,葉裏に寄生し、コロニーは大きい。,,add_verified_fields,原画像 page-083.jpg right の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
165,84,390,left,ヤナギアブラムシ,Aphis farinosa Gmelin,species-21237|species-21238,species_level_reinterpreted_as_japanese_subspecies,species-21238,species-21237,原典は日本個体群に A. farinosa yanagicola の名を用いる見解を明記しており、現行日本分類群 yanagicola のみに適用する。,世界に広く分布し、ヤナギ属だけに寄生する。原典は日本個体群に Aphis farinosa yanagicola の名を用いる見解にも言及している。,多くは新梢の茎部に寄生し、コロニーは大きい。,,add_verified_fields,原画像 page-084.jpg left の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
166,84,391,right,イチゴネアブラムシ,Aphis forbesi Weed,species-21240,species_level_unqualified,species-21240,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,北米でイチゴ害虫として知られ、日本では卵態で越冬する。アリが訪れたコロニーは土で覆われることが多い。,根ぎわの茎、葉柄に多く、大きいコロニーでは地上部の葉裏にも寄生する。,,add_verified_fields,原画像 page-084.jpg right の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
167,85,392,left,フキアブラムシ,Aphis fukii Shinji,species-21241,species_level_unqualified,species-21241,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,寄主のフキがある場所に普通に分布し、山地のツワブキにも寄生することがある。被寄生葉は萎縮することが多い。,葉裏に寄生し、コロニーは大きい。葉は萎縮することが多い。,,add_verified_fields,原画像 page-085.jpg left の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
168,85,393,right,ダイズアブラムシ,Aphis glycines Matsumura,species-21242,species_level_unqualified,species-21242,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,主にダイズに寄生し、ときに他のマメ科植物にも寄生する。アリが訪れることが多い。,葉にはほとんど寄生せず、茎の節部、葉柄、結実期には花梗、莢の基部などに寄生する。コロニーは大きいことが多い。,,add_verified_fields,原画像 page-085.jpg right の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
169,86,394,left,ワタアブラムシ,Aphis gossypii Glover,species-21244,species_level_unqualified,species-21244,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,世界的な多食性害虫である。日本など温帯では夏寄主上で単性世代を繰り返し、晩秋に冬寄主へ移って卵越冬する完全生活環をもつ一方、暖地では単性世代で冬を越す。,新芽部の茎にも寄生するが、ほとんど葉裏に寄生し、特に地表に近い下葉に多く見られる。コロニーは大きい。,,add_verified_fields,原画像 page-086.jpg left の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
170,87,396,left,カヂイチゴアブラムシ,Aphis ichigo Shinji,species-21249,species_level_unqualified,species-21249,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,春から初夏にカヂイチゴなどの太い新梢の茎へ大集団で寄生する。,新梢の茎に寄生し、コロニーは大きい。,,add_verified_fields,原画像 page-087.jpg left の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
171,87,397,right,ボタイチゴアブラムシ,Aphis ichigocola Shinji,species-21287,species_level_unqualified,species-21287,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,ナワシロイチゴに寄生し、葉を巻縮させる。有翅形は採集されていない。,生長点および葉裏に寄生し、葉は巻縮する。,note-1005308,replace_corrupt_notes_with_verified_fields,原画像 page-087.jpg right の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。 既存注記 note-1005308 は原画像と照合して判断した。
172,88,398,left,キツネノマゴアブラムシ,Aphis justiciae Shinji,species-21251|species-23137,species_level_unqualified,species-21251,species-23137,現行の受容分類群 species-21251 を適用先とし、同一名の暫定重複 species-23137 は除外する。,ヒカゲイノコズチの根に寄生する広分布の普通種である。,根に寄生し、コロニーは大きい。,note-1005309,move_verified_note_to_accepted_taxon_and_add_fields,原画像 page-088.jpg left の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。 既存注記 note-1005309 は原画像と照合して判断した。
173,88,399,right,ヨモギハアブラムシ,Aphis kurosawai Takahashi,species-21254,species_level_unqualified,species-21254,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,ヨモギ類に寄生する広分布の普通種で、小型で不活発である。,上部の茎、幼葉の裏面に多く寄生し、コロニーは大きい。,,add_verified_fields,原画像 page-088.jpg right の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
174,89,400,left,ミズタガラシアブラムシ,Aphis mizutakarashi Shinji,species-21259,species_level_unqualified,species-21259,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,ミズタガラシ類に寄生する。,茎、葉裏に寄生し、コロニーは大きい。,,add_verified_fields,原画像 page-089.jpg left の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
175,89,401,right,キョウチクトウアブラムシ,Aphis nerii Boyer de Fonscolombe,species-21262,species_level_unqualified,species-21262,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,日本ではキョウチクトウ・ガガイモ類に寄生する普通種である。,新梢の茎、葉裏に多く寄生し、開花期には花梗にも多く寄生する。コロニーは大きい。,note-1005310,replace_corrupt_notes_with_verified_fields,原画像 page-089.jpg right の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。 既存注記 note-1005310 は原画像と照合して判断した。
176,90,402,left,オドリコアブラムシ,Aphis odorikonis Matsumura,species-21264,species_level_unqualified,species-21264,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,オドリコソウに寄生し、原典はワタアブラムシとは別種として扱う。,多くは葉裏に寄生し、ときに花柄に寄生する。コロニーは小さい。,note-1005311,replace_corrupt_notes_with_verified_fields,原画像 page-090.jpg left の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。 既存注記 note-1005311 は原画像と照合して判断した。
177,90,403,right,スベリヒユアブラムシ,Aphis portulaceae Shinji,species-21268,species_level_unqualified,species-21268,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,スベリヒユ科植物に寄生する。,茎の先部に多く、コロニーは小さい。,,add_verified_fields,原画像 page-090.jpg right の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
178,91,404,left,ギシギシアブラムシ,Aphis rumicis Linné,species-21271,species_level_unqualified,species-21271,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,日本で広く分布する普通種で、春から初夏にギシギシの花茎などへ大きな集団をつくる。,茎、花穂、葉裏に寄生し、コロニーは大きい。,note-1005312|note-1005313,retain_verified_emergence_replace_corrupt_ecology,原画像 page-091.jpg left の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。 既存注記 note-1005312;note-1005313 は原画像と照合して判断した。
179,91,405,right,ニワトコアブラムシ,Aphis sambuci Linné,species-23138,species_level_unqualified,species-23138,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,ニワトコに寄生する普通種である。,新梢の茎および葉裏に多く、コロニーは大きい。,note-1005314|note-1005315,replace_corrupt_notes_with_verified_fields,原画像 page-091.jpg right の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。 既存注記 note-1005314;note-1005315 は原画像と照合して判断した。
180,92,406,left,サルトリイバラアブラムシ,Aphis smilacifoliae Takahashi,,species_level_unqualified,,,現行昆虫台帳に安全に一致する分類群がないため、本文は採録候補として保持し適用を止める。,初夏にサルトリイバラの新梢・葉柄・葉裏へ寄生し、多量の蝋質白色粉に覆われる。,新梢の茎、葉柄、葉裏に多く、コロニーは小さい。,,hold_no_safe_current_target,原画像 page-092.jpg left の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
181,92,407,right,スミレアブラムシ,Aphis sumire Moritsu,species-21278,species_level_unqualified,species-21278,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,原野・路傍のスミレの根ぎわに寄生する広分布の普通種で、アリが訪れたコロニーは土砂で覆われる。,多くは根ぎわの葉柄下部に寄生する。アリが訪れ、コロニーを土砂で覆っている。,note-1005316|note-1005317,delete_wrong_account_notes_and_add_verified_fields,原画像 page-092.jpg right の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。 既存注記 note-1005316;note-1005317 は原画像と照合して判断した。
182,93,408,left,,Aphis sp.,species-23085,source_morphospecies_unresolved,species-23085,,原典の未同定 morphospecies と現行の同名未同定行を一対一に対応付け、他種へは共有しない。,アキノタムラソウに寄生する未同定種である。,主として茎に寄生するが、葉裏でも生活する。コロニーは大きい。,,add_verified_fields,原画像 page-093.jpg left の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
183,93,409,right,モモコフキアブラムシ,Hyalopterus pruni (Geoffroy),species-21295,species_level_unqualified,species-21295,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,世界に広く分布するモモ害虫で、春から初夏はモモ・スモモ類、夏はヨシに寄生する。しばしばモモで大発生する。,生長部の茎、葉裏に多く、ときに葉表にも寄生する。コロニーは大きい。,,add_verified_fields,原画像 page-093.jpg right の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
184,94,410,left,タケノアブラムシ,Melanaphis bambusae (Fullaway),species-21297,species_level_unqualified,species-21297,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,アジアに広く分布し、日本では初夏に竹類の葉裏に多い。冬寄主としてカマツカが知られる。,葉裏に寄生する。冬寄主植物にカマツカが知られる。,note-1005318|note-1005319,retain_verified_emergence_replace_corrupt_ecology,原画像 page-094.jpg left の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。 既存注記 note-1005318;note-1005319 は原画像と照合して判断した。
185,94,411,right,タイワンススキアブラムシ,Melanaphis formosana (Takahashi),species-23139,species_level_unqualified,species-23139,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,台湾から記載され、ススキに寄生する。,葉鞘の先部か葉の基部に寄生し、コロニーは小さい。,note-1005320,replace_corrupt_notes_with_verified_fields,原画像 page-094.jpg right の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。 既存注記 note-1005320 は原画像と照合して判断した。
186,95,412,left,ススキアブラムシ,Melanaphis japonica (Takahashi),species-21300,species_level_unqualified,species-21300,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,ススキの葉鞘先端に密集し、アリが訪れることが多い。東南アジアに広く分布する普通種である。,茎の節や葉鞘と葉身の境の部分に寄生することが多い。,note-1005321,replace_corrupt_notes_with_verified_fields,原画像 page-095.jpg left の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。 既存注記 note-1005321 は原画像と照合して判断した。
187,95,413,right,ススキアカアブラムシ,Melanaphis montana (Sorin) ?,species-21301,species_level_identification_qualified,species-21301,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,原典では同定に疑問符が付され、有翅形は未採集である。野外では淡緑褐色系と淡黄緑色系が見られる。,葉裏に寄生し、コロニーは大きい。,,add_verified_fields,原画像 page-095.jpg right の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
188,96,414,left,ヒエノアブラムシ,Melanaphis sacchari (Zehntner),species-21303,species_level_unqualified,species-21303,,原典のヒエノアブラムシ概念を現行同和名の Melanaphis sorghi に対応付けた。,水田雑草のヒエ類に寄生し、東南アジアではサトウキビ害虫として知られる。西日本のソルゴーにも発生する。,葉の表裏に寄生し、コロニーは大きい。,,add_verified_fields,原画像 page-096.jpg left の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
189,96,415,right,,Melanaphis sp.,species-23086,source_morphospecies_unresolved,species-23086,,原典の未同定 morphospecies と現行の同名未同定行を一対一に対応付け、他種へは共有しない。,チカラシバに寄生する未同定種で、原典の写真個体は11月採集である。,採集は11月で、穂に寄生し、コロニーは小さい。,,add_verified_fields,原画像 page-096.jpg right の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
190,97,416,left,ムギミドリアブラムシ,Schizaphis graminum (Rondani),species-21319,species_level_unqualified,species-21319,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,世界に広く分布するムギ類害虫で、北米では気象条件により大発生する。日本では1924年の記録があるが、長年害虫としては報告されていない。,葉裏に寄生し、コロニーは小さいことが多いが、ときに大きく発展する。,,add_verified_fields,原画像 page-097.jpg left の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
191,97,417,right,ナシアブラムシ,Schizaphis piricola (Matsumura),species-21322,species_level_unqualified,species-21322,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,ナシ害虫として知られ、初夏に新梢の葉を強く巻縮させ、大発生時には新梢の茎にも群生して広範な被害を生じる。,葉の表面に多く寄生し、コロニーは大きい。,note-1005322,replace_corrupt_notes_with_verified_fields,原画像 page-097.jpg right の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。 既存注記 note-1005322 は原画像と照合して判断した。
192,98,418,left,ショウブアブラムシ,Schizaphis rotundiventris (Signoret),species-21323,species_level_unqualified,species-21323,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,ショウブに多く寄生し、カヤツリグサ科・ガマ科植物にも寄生する。,葉裏、茎に寄生し、コロニーは大きい。,,add_verified_fields,原画像 page-098.jpg left の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
193,98,419,right,コミカンアブラムシ,Toxoptera aurantii (Boyer de Fonscolombe),species-21288,species_level_unqualified,species-21288,,現行 Aphis aurantii（Toxoptera 亜属）に対応付けた。,西南日本に広く分布する普通種で、ミカン・ツバキ・サザンカ・チャなどに寄生する亜熱帯性の害虫である。,多くは葉裏に寄生し、コロニーは小さいことが多い。,,add_verified_fields,原画像 page-098.jpg right の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
194,99,420,left,ミカンクロアブラムシ,Toxoptera citricidus (Kirkaldy),species-21290,species_level_unqualified,species-21290,,現行 Aphis citricida（Toxoptera 亜属）に対応付けた。,ミカン属だけに寄生し、世界に広く分布する主要なミカン害虫である。,新梢の茎、葉裏に多く、コロニーは大きい。,,add_verified_fields,原画像 page-099.jpg left の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
195,99,421,right,ハゼアブラムシ,Toxoptera odinae (van der Goot),species-21263,species_level_unqualified,species-21263,,現行 Aphis odinae（Toxoptera から移属）に対応付けた。,ヌルデを好む多食性種で、庭園樹にしばしば発生するが作物への害はほとんどない。,茎、葉裏に寄生し、コロニーは極めて大きい。,,add_verified_fields,原画像 page-099.jpg right の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
196,100,422,left,,Toxoptera sp. A,species-23087,source_morphospecies_unresolved,species-23087,,原典の未同定 morphospecies と現行の同名未同定行を一対一に対応付け、他種へは共有しない。,クチナシに寄生する未同定種である。,新梢の茎、葉裏に寄生し、コロニーは小さい。,,add_verified_fields,原画像 page-100.jpg left の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
197,100,423,right,,Toxoptera sp. B,species-23088,source_morphospecies_unresolved,species-23088,,原典の未同定 morphospecies と現行の同名未同定行を一対一に対応付け、他種へは共有しない。,シャシャンボに寄生する未同定種で、新梢の生長部に多い。,新梢の生長部に多く寄生する。,,add_verified_fields,原画像 page-100.jpg right の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
198,101,424,left,キビクビレアブラムシ,Rhopalosiphum maidis (Fitch),species-21308,species_level_unqualified,species-21308,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,世界的に著名なイネ科作物害虫で、特にトウモロコシに好んで寄生する。,葉の表裏に寄生し、トウモロコシの実の苞にも好んで寄生する。コロニーは大きい。,,add_verified_fields,原画像 page-101.jpg left の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
199,101,425,right,クワイクビレアブラムシ,Rhopalosiphum nymphaeae (Linné),species-21310,species_level_unqualified,species-21310,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,川・池などの水辺に多く、夏はスイレン・ハス・オモダカ類など、冬はウメ・モモ類に寄生する広分布の多食性種である。,葉裏、葉柄などに多く寄生し、コロニーは大きい。多食性である。,note-1005324|note-1005325,replace_corrupt_notes_with_verified_fields,原画像 page-101.jpg right の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。 既存注記 note-1005324;note-1005325 は原画像と照合して判断した。
200,102,426,left,ムギクビレアブラムシ,Rhopalosiphum padi (Linné),species-21311,species_level_unqualified,species-21311,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,世界に広く分布するムギ類害虫で、冬はモモ・サクラ類、夏はイネ科雑草に寄生する。,葉に多く寄生し、出穂期には穂にも好んで寄生する。コロニーは大きい。,note-1005323|note-1005326,replace_corrupt_notes_with_verified_fields,原画像 page-102.jpg left の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。 既存注記 note-1005323;note-1005326 は原画像と照合して判断した。
201,102,427,right,オカボアカアブラムシ,Rhopalosiphum rufiabdominalis (Sasaki),species-21312,species_level_unqualified,species-21312,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,地上部から地下部まで多様な部位を利用する極めて多食性の種で、施設内のキュウリ・トマトの根で大発生することがある。,ウメでは新梢の茎に多く、葉裏にも寄生する。コロニーは大きい。,note-1005327|note-1005328,replace_corrupt_notes_with_verified_fields,原画像 page-102.jpg right の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。 既存注記 note-1005327;note-1005328 は原画像と照合して判断した。
202,103,428,left,ヤナギミキアブラムシ,Pterocomma pilosum Buckton,species-21212|species-21213,species_level_reinterpreted_as_current_subspecies,species-21213,species-21212,原典は Pterocomma pilosum konoi を表記種のシノニムとして扱うが、現行台帳では日本分類群 konoi を独立亜種として保持するため、species-21213 のみに適用する。,ヨーロッパから北米まで広く分布し、ヤナギ類の枝に寄生する。原典は Pterocomma pilosum konoi を本種のシノニムとして扱う。,枝に寄生し、コロニーは大きい。,,add_verified_fields,原画像 page-103.jpg left の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
203,103,429,right,クヌギトゲアブラムシ,Cervaphis quercus Takahashi,species-21188,species_level_unqualified,species-21188,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,日本に広く分布する一属一種で、夏季にも両性世代が出現する。,新葉の裏面に寄生し、コロニーは大きいことが多い。,,add_verified_fields,原画像 page-103.jpg right の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
